system,task,components,observed_us,margin,C_ms,T_ms,D_ms,prio,U,R_ms,OK
leader,L_tick,L1 tick-producer iter,697.100,2.000,1.394200,250.000,250.000,6,0.00557680,7.478200,YES
leader,L_fsm,L2 FSM per-event,400.900,2.000,0.801800,250.000,250.000,3,0.00320720,0.801800,YES
leader,L_send,L3 send one cmd,2308.100,2.000,4.616200,250.000,250.000,4,0.01846480,5.418000,YES
leader,L_rx,L4 rx msg->event,222.000,3.000,0.666000,250.000,250.000,5,0.00266400,6.084000,YES
follower,F_emergency,F4 UDP msg->event+F5 EVT_EMERGENCY,1131.400,3.000,3.394200,50.000,50.000,1,0.06788400,3.394200,YES
follower,F_watchdog,F2 watchdog iter,160.000,2.000,0.320000,100.000,100.000,2,0.00320000,3.714200,YES
follower,F_timeout_fsm,F5 EVT_LEADER_TIMEOUT,150.800,3.000,0.452400,100.000,100.000,2,0.00452400,4.166600,YES
follower,F_cruise,F3 TCP msg->event+F5 EVT_CRUISE_CMD,503.500,2.000,1.007000,250.000,250.000,5,0.00402800,5.173600,YES
follower,F_distance,F4 UDP msg->event+F5 EVT_DISTANCE,110.500,3.000,0.222400,250.000,250.000,5,0.00088960,5.396000,YES
follower,F_physics,F1 physics iter,572.400,2.000,1.144800,250.000,250.000,8,0.00457920,6.540800,YES
